RSTKF__GLACCT_ACCT__C,RSTKF__GLACCT_APACCTTYPE__C,RSTKF__GLACCT_ARACCTTYPE__C,RSTKF__GLACCT_CMPNO__C,RSTKF__GLACCT_CONTROLACCTTYPE__C,RSTKF__GLACCT_DESC__C,RSTKF__GLACCT_DISPAPDTL__C,RSTKF__GLACCT_DISPARDTL__C,RSTKF__GLACCT_DISPMFGDTL__C,RSTKF__GLACCT_INACTIVEIND__C,RSTKF__GLACCT_NORMALBAL__C,RSTKF__GLACCT_TYPE__C
1,,,,Not a Control Account,Fixed Assets,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1000,Cash Account,Cash Account,,Not a Control Account,"Checking - Acme, Inc USD",FALSE,FALSE,FALSE,FALSE,Debit,Asset
1001,Cash Account,Cash Account,,Not a Control Account,Cash,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1005,Cash Account,Cash Account,,Not a Control Account,"Deposit - Acme, Inc. USD",FALSE,FALSE,FALSE,FALSE,Debit,Asset
1070,Cash Account,Cash Account,,Not a Control Account,Petty Cash,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1090,Cash Account,Cash Account,,Not a Control Account,Petty Cash,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1100,,Accounts Receivable,,Accounts Receivable Account,Accounts Receivable  Trade,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1110,,Accounts Receivable,,Accounts Receivable Account,Accounts Receivable - Inter Company,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1150,,,,Not a Control Account,A/R - Doubtful Accounts,FALSE,FALSE,FALSE,FALSE,Credit,Asset
1160,,Accounts Receivable,,Accounts Receivable Account,Accounts Receivable Control,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1200,,,,On-Hand Inventory,Inventory - Finished Goods,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1205,,Write-off/Write-up,,Not a Control Account,Allowance for Doubtful Accounts,FALSE,FALSE,FALSE,FALSE,Credit,Asset
1210,,,,On-Hand Inventory,Inventory - Raw Material,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1220,,,,On-Hand Inventory,Inventory - Mfg Components,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1230,,,,On-Hand Inventory,Inventory - Purchased Parts,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1250,,,,WIP inventory,Inventory - WIP - In House,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1260,,,,WIP inventory,Inventory - WIP - Subcontract,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1270,,,,On-Hand Inventory,Inventory - Non-Nettable,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1280,,,,WIP inventory,WIP Disassembly,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1290,,,,Not a Control Account,Reserve for Obsolete Inventory,FALSE,FALSE,FALSE,FALSE,Credit,Asset
1300,,,,Not a Control Account,Pepaid Expenses,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1305,,Credit Card Clearing,,Not a Control Account,Credit Card Receivable,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1350,,,,Not a Control Account,Prepaid Expenses,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1360,,,,Not a Control Account,Accrued Income,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1390,,,,Not a Control Account,Amoritzation of Prepaid Expenses,FALSE,FALSE,FALSE,FALSE,Credit,Asset
1400,,,,Not a Control Account,Property and Equipment,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1405,,,,On-Hand Inventory,"Inventory, Non-Nettable",FALSE,FALSE,FALSE,FALSE,Debit,Asset
1410,,,,Not a Control Account,"Inventory, Division Transfer Clearing",FALSE,FALSE,FALSE,FALSE,Debit,Asset
1415,,,,WIP inventory,"Inventory, WO WIP",FALSE,FALSE,FALSE,FALSE,Debit,Asset
1420,,,,WIP inventory,"Inventory, Subcontract PO WIP",FALSE,FALSE,FALSE,FALSE,Debit,Asset
1425,,,,On-Hand Inventory,"Inventory, Finished Goods",FALSE,FALSE,FALSE,FALSE,Debit,Asset
1430,,,,Not a Control Account,"Inventory, Shipping Clearing",FALSE,FALSE,FALSE,FALSE,Debit,Asset
1490,,,,Not a Control Account,Accumulated Depreciation,FALSE,FALSE,FALSE,FALSE,Credit,Asset
1500,,,,Not a Control Account,Land,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1510,,,,Not a Control Account,Buildings,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1515,,,,Not a Control Account,Leasehold Improvements,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1520,,,,Not a Control Account,Vehicles,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1525,,,,Not a Control Account,Furniture and Fixtures,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1530,,,,Not a Control Account,Equipment,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1535,,,,Not a Control Account,Buildings Accumulated Depreciation,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1540,,,,Not a Control Account,Leasehold Improvements Accumulated Depreciation,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1545,,,,Not a Control Account,Vehicles Accumulated Depreciation,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1550,,,,Not a Control Account,Furniture and Fixtures Accumulated Depreciation,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1555,,,,Not a Control Account,Equipment Accumulated Depreciation,FALSE,FALSE,FALSE,FALSE,Debit,Asset
1900,,,,Not a Control Account,Intangible Assets,FALSE,FALSE,FALSE,FALSE,Debit,Asset
2000,Accounts Payable,,,Accounts Payable Account,Accounts Payable - Trade,FALSE,FALSE,FALSE,FALSE,Credit,Liability
2001,Accrued Accounts Payable,,,Not a Control Account,Accrued Accounts Payable,FALSE,FALSE,FALSE,FALSE,Credit,Liability
2005,Accrued Accounts Payable,,,Not a Control Account,Accrued Accounts Payable,FALSE,FALSE,FALSE,FALSE,Credit,Asset
2010,Accounts Payable,,,Accounts Payable Account,Accounts Payable - Inter Company,FALSE,FALSE,FALSE,FALSE,Credit,Liability
2011,Accounts Payable,,,Accounts Payable Account,Deferred Revenue,FALSE,FALSE,FALSE,FALSE,Credit,Liability
2100,,Credit Card Clearing,,Accounts Payable Account,Accounts Payable - Credit Card Clearing,FALSE,FALSE,FALSE,FALSE,Credit,Liability
2105,,,,Not a Control Account,Inter-Company Payables,FALSE,FALSE,FALSE,FALSE,Credit,Asset
2110,,,,Not a Control Account,Staff Expenses Payable,FALSE,FALSE,FALSE,FALSE,Credit,Asset
2115,,,,Not a Control Account,Employment Taxes Payable,FALSE,FALSE,FALSE,FALSE,Credit,Asset
2120,,,,Not a Control Account,Pension Contributions Payable,FALSE,FALSE,FALSE,FALSE,Credit,Asset
2125,,,,Not a Control Account,Salaries Payable,FALSE,FALSE,FALSE,FALSE,Credit,Asset
2130,,,,Not a Control Account,Accrued Expenses,FALSE,FALSE,FALSE,FALSE,Credit,Asset
2135,,Tax,,Not a Control Account,Sales Tax Payable,FALSE,FALSE,FALSE,FALSE,Credit,Asset
2200,Accounts Payable,,,Not a Control Account,Current Portion of Long Term AP,FALSE,FALSE,FALSE,FALSE,Credit,Liability
2205,,,,Not a Control Account,Deferred Income,FALSE,FALSE,FALSE,FALSE,Credit,Asset
