"RSTKF__GLACCT_TYPE__C","RSTKF__GLACCT_ACCT__C","ID","RSTKF__FORMULA_NAME__C"
"Asset","1410","aBHDT0000004Mn34AE","1410 (Inventory, Division Transfer Clearing)"
"Asset","1415","aBHDT0000004Mn44AE","1415 (Inventory, WO WIP)"
"Asset","1420","aBHDT0000004Mn54AE","1420 (Inventory, Subcontract PO WIP)"
"Asset","1425","aBHDT0000004Mn64AE","1425 (Inventory, Finished Goods)"
"Asset","1430","aBHDT0000004Mn74AE","1430 (Inventory, Shipping Clearing)"
"Asset","1490","aBHDT0000004Mn84AE","1490 (Accumulated Depreciation)"
"Asset","1500","aBHDT0000004Mn94AE","1500 (Land)"
"Asset","1510","aBHDT0000004MnA4AU","1510 (Buildings)"
"Asset","1515","aBHDT0000004MnB4AU","1515 (Leasehold Improvements)"
"Asset","1520","aBHDT0000004MnC4AU","1520 (Vehicles)"
"Asset","1525","aBHDT0000004MnD4AU","1525 (Furniture and Fixtures)"
"Asset","1530","aBHDT0000004MnE4AU","1530 (Equipment)"
"Asset","1535","aBHDT0000004MnF4AU","1535 (Buildings Accumulated Depreciation)"
"Asset","1540","aBHDT0000004MnG4AU","1540 (Leasehold Improvements Accumulated Depreciation)"
"Asset","1545","aBHDT0000004MnH4AU","1545 (Vehicles Accumulated Depreciation)"
"Asset","1550","aBHDT0000004MnI4AU","1550 (Furniture and Fixtures Accumulated Depreciation)"
"Asset","1555","aBHDT0000004MnJ4AU","1555 (Equipment Accumulated Depreciation)"
"Asset","1900","aBHDT0000004MnK4AU","1900 (Intangible Assets)"
"Liability","2000","aBHDT0000004MnL4AU","2000 (Accounts Payable - Trade)"
"Liability","2001","aBHDT0000004MnM4AU","2001 (Accrued Accounts Payable)"
"Asset","2005","aBHDT0000004MnN4AU","2005 (Accrued Accounts Payable)"
"Liability","2010","aBHDT0000004MnO4AU","2010 (Accounts Payable - Inter Company)"
"Liability","2011","aBHDT0000004MnP4AU","2011 (Deferred Revenue)"
"Liability","2100","aBHDT0000004MnQ4AU","2100 (Accounts Payable - Credit Card Clearing)"
"Asset","2105","aBHDT0000004MnR4AU","2105 (Inter-Company Payables)"
"Asset","2110","aBHDT0000004MnS4AU","2110 (Staff Expenses Payable)"
"Asset","2115","aBHDT0000004MnT4AU","2115 (Employment Taxes Payable)"
"Asset","2120","aBHDT0000004MnU4AU","2120 (Pension Contributions Payable)"
"Asset","2125","aBHDT0000004MnV4AU","2125 (Salaries Payable)"
"Asset","2130","aBHDT0000004MnW4AU","2130 (Accrued Expenses)"
"Asset","2135","aBHDT0000004MnX4AU","2135 (Sales Tax Payable)"
"Liability","2200","aBHDT0000004MnY4AU","2200 (Current Portion of Long Term AP)"
"Asset","2205","aBHDT0000004MnZ4AU","2205 (Deferred Income)"
"Liability","2210","aBHDT0000004Mna4AE","2210 (Accrued Warranty Expense)"
"Liability","2220","aBHDT0000004Mnb4AE","2220 (Bank Line of Credit)"
"Liability","2230","aBHDT0000004Mnc4AE","2230 (Income Tax Payable)"
"Liability","2240","aBHDT0000004Mnd4AE","2240 (Interest Payable)"
"Liability","2250","aBHDT0000004Mne4AE","2250 (Sales Tax)"
"Liability","2260","aBHDT0000004Mnf4AE","2260 (VAT Tax-VAT Recovery)"
"Liability","2300","aBHDT0000004Mng4AE","2300 (Notes Payable)"
"Asset","1111","aBHDT0000004MmX4AU","1111 (Dummy Data)"
"Asset","2305","aBHDT0000004Mnh4AE","2305 (Note Payable)"
"Asset","2310","aBHDT0000004Mni4AE","2310 (Corporation Tax)"
"Asset","2315","aBHDT0000004Mnj4AE","2315 (Due Franchisee)"
"Asset","2320","aBHDT0000004Mnk4AE","2320 (Due to Acme Inc.)"
"Liability","2325","aBHDT0000004Mnl4AE","2325 (Due to Acme Canada)"
"Liability","2330","aBHDT0000004Mnm4AE","2330 (Due to Acme UK)"
"Liability","2400","aBHDT0000004Mnn4AE","2400 (Unvouchered Receipts(ie. accrued AP))"
"Liability","2500","aBHDT0000004Mno4AE","2500 (Sales Commission Due)"
"Liability","2510","aBHDT0000004Mnp4AE","2510 (Royalty Due)"
"Liability","2590","aBHDT0000004Mnq4AE","2590 (Reimbursable employee expense due)"
"Liability","2600","aBHDT0000004Mnr4AE","2600 (Terms Discount)"
"Liability","2900","aBHDT0000004Mns4AE","2900 (Long Term Debt)"
"Capital","3000","aBHDT0000004Mnt4AE","3000 (Common Stock)"
"Capital","3010","aBHDT0000004Mnu4AE","3010 (Additional Paid In Capital)"
"Capital","3030","aBHDT0000004Mnv4AE","3030 (Intercompany APIC)"
"Capital","3040","aBHDT0000004Mnw4AE","3040 (Dividends)"
