RSTK__SYACC_DIV__C,RSTK__SYACC_MFGACCT__C,RSTK__SYACC_DESCR__C,RSTK__SYACC_GLTYPE_PL__C,RSTK__SYACC_SYQBCOA__C,RSTK__SYACC_GLXREFACCT__C
a8gDT0000008elLYAQ,5110,Purchase Price Variance (PPV),PPV,,
a8gDT0000008elLYAQ,5130,PO-Invoice Price Variance,Variance,,
a8gDT0000008elLYAQ,5140,Standards Variance,Standards Change Variance,,
a8gDT0000008elLYAQ,2135,Sales Tax Payable,Liability Accounts,,
a8gDT0000008elLYAQ,SR-9005,SR-Federal Tax Sales Payable,Liability Accounts,,
a8gDT0000008elLYAQ,7102,Div to Div Clearing,Division Transfer,,
a8gDT0000008elLYAQ,4550,Deferred Cost,Deferred Costs,,
a8gDT0000008elLYAQ,4105,Packaging Income,Revenue,,
a8gDT0000008elLYAQ,1405,Non Nettable Inventory,Non Nettable,,
a8gDT0000008elLYAQ,4100,Freight Income,Revenue,,
a8gDT0000008elLYAQ,Feb-00,Customer Deposits - Credit Card,Unearned Revenue,,
a8gDT0000008elLYAQ,Jan-00,"Inventory, Scrap",General Scrap,,
a8gDT0000008elLYAQ,5170,Labor Clearing,"WIP Clearing (Labor, Mach, Fringe)",,
a8gDT0000008elLYAQ,4000,Product Revenue,Revenue,,
a8gDT0000008elLYAQ,Feb-00,Work Order Scrap,General Scrap,,
a8gDT0000008elLYAQ,5180,Machine OHD Clearing,"WIP Clearing (Labor, Mach, Fringe)",,
a8gDT0000008elLYAQ,SR-9001,(SR-VAT Output Account,Liability Accounts,,
a8gDT0000008elLYAQ,Jan-00,Customer Deposit - Invoice,Unearned Revenue,,
a8gDT0000008elLYAQ,5175,Labor OHD Clearing,"WIP Clearing (Labor, Mach, Fringe)",,
a8gDT0000008elLYAQ,7350,Shipping Clearing,Cost of Sales Clearing,,
a8gDT0000008elLYAQ,4392,Unearned Revenue,Unearned Revenue,,
a8gDT0000008elLYAQ,5165,Material OHD Clearing,OTH Clearing,,
a8gDT0000008elLYAQ,5135,Invoice - Receipt Quantity Variance,Variance,,
a8gDT0000008elLYAQ,5120,Material OHD Variance,Variance,,
a8gDT0000008elLYAQ,1400,"Inventory, Raw Material",Inventory,,
a8gDT0000008elLYAQ,4390,Sales Discount,Revenue,,
a8gDT0000008elLYAQ,4110,Handling Income,Revenue,,
a8gDT0000008elLYAQ,SR-9002,(SR-VAT Input Account),Liability Accounts,,
a8gDT0000008elLYAQ,5900,RMA Product Return,Cost of Sales,,
a8gDT0000008elLYAQ,1200,Accounts Receivable,Other,,
a8gDT0000008elLYAQ,2260,VAT Tax - Vat Recovery,Liability Accounts,,
a8gDT0000008elLYAQ,5190,General Mrg Expense,Expense,,
a8gDT0000008elLYAQ,8210,AP Exchange Rate Variance,Variance,,
a8gDT0000008elLYAQ,5185,Fringe OHD Clearing,"WIP Clearing (Labor, Mach, Fringe)",,
a8gDT0000008elLYAQ,5105,Inventory Adjustment,Inventory Adjustment,,
a8gDT0000008elLYAQ,1415,Work Order WIP,WIP,,
a8gDT0000008elLYAQ,5145,Div to Div Move Stds Variance,Division to Division Variance,,
a8gDT0000008elLYAQ,2005,Accrued Accounts Payable,Accrued AP,,
a8gDT0000008elLYAQ,SR-9003,VAT Clearing Account,Liability Accounts,,
a8gDT0000008elLYAQ,1425,Inventory - Finished Goods,Inventory,,
a8gDT0000008elLYAQ,5000,Product COGS,Cost of Sales,,
a8gDT0000008elLYAQ,5125,Negative Variance Acct,Inventory Negative Variance,,
a8gDT0000008elLYAQ,4200,Service Revenue,Revenue,,
a8gDT0000008elLYAQ,1416,WO Disassembly WIP,WIP,,
a8gDT0000008elLYAQ,1417,WIP Rework WO,WIP,,
a8gDT0000008elLYAQ,5150,Work Order/Subcontract Variance,WO/Subc PO Variance,,
a8gDT0000008elLYAQ,1420,Subcontract PO WIP,POSUBWIP,,
a8gDT0000008elLYAQ,5151,Rework Work Order Variance,Variance,,
