"RSTK__SYACC_DIV__C","RSTK__SYACC_MFGACCT__C","RSTK__SYACC_DESCR__C","RSTK__SYACC_GLTYPE_PL__C","RSTK__SYACC_SYQBCOA__C","RSTK__SYACC_GLXREFACCT__C"
"a8C8Y000000CurgUAC","5175","Labor OHD Clearing","WIP Clearing (Labor, Mach, Fringe)","","aAO8Y000000OIjAWAW"
"a8C8Y000000CurgUAC","5170","Labor Clearing","WIP Clearing (Labor, Mach, Fringe)","","aAO8Y000000OIj9WAG"
"a8C8Y000000CurgUAC","5120","Material OHD Variance","Variance","","aAO8Y000000OIj0WAG"
"a8C8Y000000CurgUAC","1425","Inventory - Finished Goods","Inventory","","aAO8Y000000OIi6WAG"
"a8C8Y000000CurgUAC","4110","Handling Income","Revenue","","aAO8Y000000OIipWAG"
"a8C8Y000000CurgUAC","7350","Shipping Clearing","Cost of Sales Clearing","","aAO8Y000000OIjoWAG"
"a8C8Y000000CurgUAC","2200-2","Customer Deposits - Credit Card","Unearned Revenue","","aAO8Y000000OIiWWAW"
"a8C8Y000000CurgUAC","SR-9002","(SR-VAT Input Account)","Liability Accounts","","aAO8Y000000OIk6WAG"
"a8C8Y000000CurgUAC","SR-9001","(SR-VAT Output Account","Liability Accounts","","aAO8Y000000OIk5WAG"
"a8C8Y000000CurgUAC","SR-9003","VAT Clearing Account","Liability Accounts","","aAO8Y000000OIk7WAG"
"a8C8Y000000CurgUAC","SR-9005","SR-Federal Tax Sales Payable","Liability Accounts","","aAO8Y000000OIk8WAG"
"a8C8Y000000CurgUAC","5151","Rework Work Order Variance","Variance","","aAO8Y000000OId8WAG"
"a8C8Y000000CurgUAC","1416","WO Disassembly WIP","WIP","","aAO8Y000000OId9WAG"
"a8C8Y000000CurgUAC","1417","WIP Rework WO","WIP","","aAO8Y000000OIdAWAW"
"a8C8Y000000CurhUAC","5110","Purchase Price Variance (PPV)","PPV","","aAO8Y000000OIizWAG"
"a8C8Y000000CurhUAC","5130","PO-Invoice Price Variance","Variance","","aAO8Y000000OIj2WAG"
"a8C8Y000000CurhUAC","5140","Standards Variance","Standards Change Variance","","aAO8Y000000OIj4WAG"
"a8C8Y000000CurhUAC","2135","Sales Tax Payable","Liability Accounts","","aAO8Y000000OIiVWAW"
"a8C8Y000000CurhUAC","SR-9005","SR-Federal Tax Sales Payable","Liability Accounts","","aAO8Y000000OIk8WAG"
"a8C8Y000000CurhUAC","7102","Div to Div Clearing","Division Transfer","","aAO8Y000000OIjnWAG"
"a8C8Y000000CurhUAC","4550","Deferred Cost","Deferred Costs","","aAO8Y000000OIiuWAG"
"a8C8Y000000CurhUAC","4105","Packaging Income","Revenue","","aAO8Y000000OIioWAG"
"a8C8Y000000CurhUAC","1405","Non Nettable Inventory","Non Nettable","","aAO8Y000000OIi3WAG"
"a8C8Y000000CurhUAC","4100","Freight Income","Revenue","","aAO8Y000000OIinWAG"
"a8C8Y000000CurhUAC","2200-2","Customer Deposits - Credit Card","Unearned Revenue","","aAO8Y000000OIiWWAW"
"a8C8Y000000CurhUAC","5100-1","Inventory, Scrap","General Scrap","","aAO8Y000000OIixWAG"
"a8C8Y000000CurhUAC","5170","Labor Clearing","WIP Clearing (Labor, Mach, Fringe)","","aAO8Y000000OIj9WAG"
"a8C8Y000000CurhUAC","4000","Product Revenue","Revenue","","aAO8Y000000OIimWAG"
"a8C8Y000000CurhUAC","5100-2","Work Order Scrap","General Scrap","","aAO8Y000000OIixWAG"
"a8C8Y000000CurhUAC","5180","Machine OHD Clearing","WIP Clearing (Labor, Mach, Fringe)","","aAO8Y000000OIjBWAW"
